53.0146507 5.2299037
52.9746420 5.2430441
52.9733059 5.2538251
52.9721414 5.2650675
52.9711275 5.2758795
52.9751976 5.2837123
52.9762198 5.2728432
52.9773864 5.2616149
52.9786961 5.2507130
52.9802272 5.2395704
52.9818843 5.2288903
52.9876321 5.2253242
52.9858914 5.2357552
52.9842087 5.2470019
52.9826837 5.2585026
52.9814119 5.2694785
52.9802805 5.2807087
52.9793545 5.2916390
52.9836476 5.2994319
52.9845910 5.2886048
52.9857033 5.2774918
52.9869618 5.2665173
52.9884674 5.2547925
52.9901533 5.2430679
52.9918921 5.2320697
52.9936193 5.2219808
52.9995925 5.2186525
52.9979692 5.2286096
52.9963225 5.2392638
52.9946461 5.2507960
52.9930141 5.2629091
52.9915251 5.2747253
52.9902664 5.2855976
52.9891089 5.2964127
52.9880637 5.3069133
52.9926243 5.3140833
52.9938206 5.3041452
52.9951013 5.2937630
52.9964295 5.2831726
52.9979195 5.2714756
52.9995252 5.2591827
53.0011203 5.2472316
53.0026529 5.2359949
53.0041136 5.2254418
53.0055093 5.2155608
53.0112101 5.2128118
53.0100750 5.2224982
53.0088211 5.2328895
53.0074696 5.2438878
53.0059995 5.2554990
53.0044209 5.2676150
53.0027992 5.2797748
53.0012542 5.2911132
52.9998137 5.3013507
52.9984013 5.3112287
53.0043108 5.3082093
53.0058870 5.2984337
53.0075147 5.2875984
53.0091832 5.2758110
53.0107724 5.2637983
53.0122230 5.2520086
53.0135134 5.2407103
53.0156694 5.2196334
53.0202185 5.2272012
53.0192978 5.2379179
53.0181960 5.2489489
53.0169056 5.2603238
53.0154092 5.2720538
53.0137477 5.2836803
53.0119851 5.2948740
53.0101937 5.3047421
53.0161781 5.3012290
53.0179668 5.2909720
53.0196301 5.2797470
53.0211551 5.2681800
53.0224656 5.2568798
53.0235750 5.2458032
53.0245772 5.2349936
53.0287920 5.2426260
53.0275724 5.2536142
53.0264797 5.2647523
53.0251876 5.2759191
53.0236513 5.2872496
53.0219799 5.2978047
53.0274226 5.2940216
53.0290593 5.2832118
53.0303968 5.2723729
53.0314661 5.2613097
52.9761923 5.2323797
