Index,subindex,Cluster,Name,Country,MW install,PG,D,WT densi,AreaR_Afarm,Ht,A,Href,Nt,lambda,k,Average wind speed,Nrowscale parameter,Nturb_effective,Nturb_frontal_area,CF,Wind farm density,Year production TWh/year,Source power,Coordinates,k_ref,A_ref,A_h,lat,lon,lat2,lon2,Area,Nwt_rows,Nwt_row_wf_neighbors,Cf_Free,Cf_Inf,Cf_Model,U_Free,U_Inf,U_Model,G_Model,U_rated,Phi_Model,Phi_Model_redo,Phi_Model_a5p3,Cf_Model_redo,Cf_Model_a5p3
40,0,5,Thortonbank,BE,325.0,6.01851851851852,126.0,483,0.0339,95.0,19.84,100,54,10.6,2.4,9.39671034215981,2.5,54,11.0,32.9352534831987,16.38,0.94,Belgium wind farms sheet,51°33′06″N 2°58′01″E,2.369521141052246,10.477529647643347,10.43862938330523,51.55166666666666,2.9669444444444446,51.5503537037037,2.9503185185185186,27.943224066869796,9.5475,5.121599999999999,0.5094569577501672,0.24845969883245053,0.3813749695775841,9.396710342159814,6.540533994160855,7.9950682050721715,11.385867878700717,11.96551975923697,1.5101791404420937,1.6660347943879537,1.4029597442288697,0.3103450488913847,0.43670100859086186
41,0,5,Rentel,BE,309.0,7.35,154.0,395,0.0344,119.0,22.72,100,42,10.6,2.4,9.39671034215981,2.5,42,6.0,35.4657090925212,13.6,0.96,Belgium wind farms sheet,51°35′28″N 2°56′38″E,2.351212501525879,10.523432166208039,10.65593438680428,51.59111111111111,2.943888888888889,51.59100714285715,2.945011904761905,22.551462955163622,7.891710828917109,3.7726227377262274,0.5583853272202679,0.3090441795172802,0.3977080898098343,9.396710342159814,6.702985723041188,7.665030203949982,11.190943223704615,11.188298133126844,1.4767440395242903,1.5438834303286266,1.2673654322457935,0.3646820420620173,0.5124592868995801
42,0,5,Northwind,BE,216.0,3.0,112.0,305,0.0489,71.0,14.5,100,72,10.6,2.4,9.39671034215981,2.5,72,13.0,37.963667625007,14.9,0.72,Belgium wind farms sheet,51°37′00″N 2°54′00″E,2.3454198837280273,10.560596204388366,10.298796118063068,51.61666666666667,2.9,51.61996388888889,2.9025402777777773,12.951521391340407,12.115400000000001,6.893000000000002,0.6180563519499516,0.27457653814171135,0.42961950965237533,9.396710342159814,5.843099819050543,7.447160084878945,11.64781865568022,10.262278609609961,1.4161776029500917,1.5613345090139352,1.3086317754141206,0.356785092189635,0.4891178047060192
43,0,5,Nobelwind,BE,165.0,3.3,112.0,335,0.0249,79.0,19.8,100,50,10.6,2.4,9.39671034215981,2.5,50,8.0,39.8159678981597,8.33,0.58,Belgium wind farms sheet,51°39′47″N 2°50′02″E,2.34055233001709,10.611088878256682,10.43004087274955,51.66305555555555,2.833888888888889,51.660762000000005,2.820989999999999,32.87101057842534,13.161700000000002,8.335,0.5966159984853584,0.3644019672015847,0.45728757971509415,9.396710342159814,6.8557116865556464,7.872111114864738,11.55043048281963,10.593546147973578,1.3652281079696653,1.358206040640991,1.2240559294450535,0.4611771647390974,0.5384540903814514
44,0,5,Belwind Phase 1,BE,171.0,3.0,90.0,472,0.021,72.0,17.0,100,56,10.6,2.4,9.39671034215981,2.5,56,9.0,33.3713109087618,10.06,0.5,Belgium wind farms sheet,51°40′0″N 2°48′0″E,2.3418359756469727,10.619710159849724,10.367195570328182,51.666666666666664,2.8,51.669382142857145,2.8026267857142857,12.072948683177264,13.338667733546709,1.4665933186637328,0.5151978963468894,0.29835204540193017,0.37871484541701184,9.396710342159814,7.003852437681409,7.965268524811167,11.634970750027021,11.8730093529738,1.5018810545165542,1.6607788953991036,1.3749511877050287,0.3070662497008362,0.44400282579457295
45,0,5,Northwester 2,BE,219.0,9.5,164.0,450,0.0405,105.0,12.0,100,23,10.6,2.4,9.39671034215981,2.5,23,3.0,31.4839140134693,18.25,0.6,Belgium wind farms sheet,51°41′15″N 2°44′56″E,2.3381242752075195,10.636852827761107,10.674417403716165,51.6875,2.748888888888889,51.68673913043479,2.753221739130434,9.618694611317114,8.164283571642835,4.76982301769823,0.5268305749183835,0.26864275400007076,0.3520288766641335,9.396710342159814,6.594050909073883,7.507961568892849,11.298452054113632,11.686757549474825,1.5697995698976284,1.4680910140793533,1.2437073320266518,0.40158360393959575,0.5256277653866063
46,0,5,Seamade Mermaid,BE,235.0,8.4,167.0,383,0.0367,109.0,16.7,100,28,10.6,2.4,9.39671034215981,2.5,28,6.0,38.1327115515399,14.07,0.79,Source files Belgium,51°42′15″N 2°40′56″E,2.3402223587036133,10.652516641644228,10.718964373669388,51.70416666666667,2.6822222222222223,51.71739999999999,2.7379428571428575,15.59766548189065,8.05949405059494,7.335966403359664,0.5651599253586416,0.31290038818928845,0.4484207361083368,9.396710342159814,6.676318151431765,8.133671070469235,11.266129214142929,11.08232407558059,1.3820566048059055,1.327956126396164,1.1793833875944881,0.47853654716489685,0.5656409125291596
47,0,5,Seamade Seastar,BE,252.0,8.4,167.0,383,0.0336,109.0,19.54,100,30,10.6,2.4,9.39671034215981,2.5,30,4.0,34.7146722717499,12.9,0.77,Source files Belgium,51°38′47″N 2°52′00″E,2.3441686630249023,10.588842418270156,10.65489296643032,51.646388888888886,2.8666666666666667,51.63369000000001,2.861963333333333,16.624976635372168,8.812081208120812,4.857285728572857,0.5651599253586416,0.32227100153761334,0.4032339761446227,9.396710342159814,6.765875963657214,7.6428207314276015,11.266129214142929,11.08232407558059,1.4666613959433807,1.433233392177372,1.1924697027509654,0.42058607681297167,0.5573008133669916
48,0,0,Rampion,UK,400.0,3.45,116.0,326,0.017,80.0,72.0,100,116,10.56,2.4,9.36125105784978,2.5,116,16.0,42.2588470319635,5.56,1.48,Uk wind farms sheet,50°40′00″N 0°16′00″W,2.321772575378418,10.378585525402512,10.210954049023849,50.666666666666664,-0.26666666666666666,50.66966637931036,-0.2783163793103448,61.24072942077247,12.483199999999998,12.483199999999998,0.5998926095471945,0.40302459543102837,0.4711455725988212,9.361251057849778,7.159215858032399,7.918538311708773,11.492747089893701,10.503074278198593,1.3407705298973378,1.3675799026503876,1.289859931694847,0.45621687422037815,0.5001518483922472
49,0,0,Thanet,UK,300.0,3.0,90.0,472,0.0182,70.0,35.0,100,100,10.6,2.4,9.39671034215981,2.5,100,17.0,32.8210982320571,8.57,0.86,Uk wind farms sheet,51°26′0″N 1°38′0″E,2.476738929748535,10.36201467858992,10.094498614737484,51.43333333333333,1.6333333333333333,51.43040499999999,1.63215,26.911453910927577,15.769699999999998,15.769699999999998,0.5151978963468894,0.3050446090944964,0.3943597561767634,9.396710342159814,7.072295854109923,8.060171973931153,11.660876894898145,11.8730093529738,1.484126807179718,1.497018948692595,1.4411654040583057,0.3878959664440979,0.41642585133826465
50,0,0,London Array,UK,630.0,3.6,120.0,318,0.0162,87.0,122.0,100,175,10.57,2.4,9.37011587892729,2.5,175,20.0,40.7226208596072,5.16,2.25,Uk wind farms sheet,51°38′38″N 1°33′13″E,2.4725141525268555,10.380841868598907,10.276201689488776,51.64388888888889,1.553611111111111,51.627876,1.4972548571428572,106.41028080200006,15.37706229377062,15.37706229377062,0.606247560578853,0.4149418885071511,0.46960065195620876,9.370115878927287,7.212615281881772,7.829044000547064,11.429280316751273,10.415066986218795,1.3431053586055233,1.3658092998282527,1.304317320891755,0.45696644902998274,0.49158704088710337
51,0,0,Gunfleet Sand,UK,172.8,3.6,107.0,400,0.0317,75.0,13.6,100,48,10.62,2.4,9.41443998431483,2.5,48,9.0,35.4702480844033,12.71,0.54,Uk wind farms sheet,51°43′0″N 01°12′50″E,2.5206727981567383,10.191404438717177,9.97918757291092,51.71666666666667,1.2138888888888888,51.7303125,1.2315229166666668,14.784065629115176,11.345,11.345,0.5562821396923041,0.2891625442659227,0.414374854622039,9.414439984314832,6.542840582852338,7.888902761720126,11.620905423867951,11.242434856823206,1.445094507817208,1.383960794025559,1.3009709358171724,0.44699961770927155,0.4935061249468726
